Field,Value,Note
,,
HelperWalkSpeed,600,파트너의 `CharacterMovement.MaxWalkSpeed`에 적용되는 최대 걷기 속도다. 단위는 cm/s다. 600은 UE 5.8.2 `UCharacterMovementComponent`의 기본 걷기 속도다.
FollowDistance,500,조력자가 플레이어 뒤에서 목표로 삼는 거리
MinimumFollowSeparation,5000,플레이어에게 절대 가까워지지 않는 최소 거리
,,
GuardSightRadius,1500,파트너가 마네킹을 감시할 수 있는 최대 거리다. 단위는 cm이다. 거리를 넘으면 각도와 장애물 조건을 만족해도 감지하지 않는다.
GuardHalfAngleDegrees,60,파트너가 실제로 마네킹을 감시하는 부채꼴의 한쪽 각도다. 단위는 도이며 기본값 60은 총 120도다. 실제 시야의 중심과 양 끝은 `GuardSearchHalfAngleDegrees` 커버 범위를 절대 넘지 않도록 런타임에서 제한된다.
GuardSearchHalfAngleDegrees,90,"파트너가 실제 시야의 중심을 움직일 수 있는 커버 범위의 한쪽 각도다. 단위는 도이며 기본값 90은 총 180도다. 기준은 플레이어 카메라가 아니라 플레이어의 실제 수평 이동 방향 반대다. 커버 안의 가장 가까운 마네킹 2기 사이 각도가 실제 총 시야각 이하면 중간 방향을, 초과하면 가장 가까운 마네킹 방향을 선택한다. 후보가 없으면 이동 반대 방향을 유지한다. 디버그에서는 청록색이 커버 범위, 노란색이 실제 시야, 녹색 선이 실제 시야 중심이다."
,,
VisionDirectionChangeWindowSeconds,1,플레이어가 정지했을 때 파트너의 실제 시야 중심 변경을 누적하는 시간창이다. 단위는 초이며 기본값은 3이다.
VisionDirectionChangeRequiredCount,1,시간창 안에서 실제 시야 중심이 유효하게 변경되어야 하는 최소 횟수다. 기본값은 5다.
VisionDirectionChangeThresholdDegrees,1,직전에 기록한 실제 시야 중심 방향과 이 값 이상 차이 날 때만 유효 변경 한 번으로 센다. 단위는 도이며 기본값은 5다. 시간창 안에서 필요한 횟수에 도달하면 파트너는 실제 시야 중심의 반대 방향으로 `MinimumFollowSeparation × 2`만큼 이동한다. 이동할 NavMesh 경로에 플레이어 캡슐이 있으면 플레이어를 같은 방향으로 밀고 데스카운트를 한 번 차감한다. 후방 이격이 시작된 뒤에는 플레이어가 실제 이동 입력을 넣을 때까지 추적 거리 갱신을 잠근다. 디버그의 주황색 선은 잠긴 후방 이격 목표다.
,,
RepathInterval,0.25,새 이동 경로 요청 간격
RepathDistance,25,목표가 이만큼 변해야 경로를 다시 요청
AcceptanceRadius,25,목표 지점 도착 판정 거리
StuckTimeout,1.5,이동 진전이 없을 때 정체로 판단하는 시간
StuckWaitTime,0.5,정체 뒤 다음 경로 요청까지 대기 시간
ProgressDistance,20,실제로 움직였다고 인정하는 최소 이동량
